,angulo1,lados1,angulo2,lados2,Difference,SE,t,df,p_bonferroni,p_holm
66,hip_addu,L-L,hip_rot,L-L,−9.29e−4,0.00169,−0.54940,483,1.000,1.000
67,hip_addu,L-L,hip_rot,L-R,2.14e−4,0.00169,0.12651,483,1.000,1.000
68,hip_addu,L-L,hip_rot,R-L,7.68e−4,0.00169,0.45381,483,1.000,1.000
69,hip_addu,L-L,hip_rot,R-R,−0.00162,0.00169,−0.95589,483,1.000,1.000
70,hip_addu,L-L,knee,L-L,−9.98e−4,0.00169,−0.58998,483,1.000,1.000
71,hip_addu,L-L,knee,L-R,−0.00324,0.00169,−1.91441,483,1.000,1.000
72,hip_addu,L-L,knee,R-L,−0.00290,0.00169,−1.71654,483,1.000,1.000
73,hip_addu,L-L,knee,R-R,−0.00137,0.00169,−0.81042,483,1.000,1.000
74,hip_addu,L-L,subt,L-L,−4.61e−4,0.00169,−0.27253,483,1.000,1.000
75,hip_addu,L-L,subt,L-R,−6.13e−5,0.00169,−0.03624,483,1.000,1.000
76,hip_addu,L-L,subt,R-L,8.63e−4,0.00169,0.51015,483,1.000,1.000
77,hip_addu,L-L,subt,R-R,3.20e−4,0.00169,0.18911,483,1.000,1.000
78,hip_addu,L-R,ankle,R-L,−2.07e−4,0.00169,−0.12251,483,1.000,1.000
79,hip_addu,L-R,ankle,R-R,−0.00176,0.00169,−1.03816,483,1.000,1.000
80,hip_addu,L-R,hip_addu,R-L,−5.35e−4,0.00169,−0.31631,483,1.000,1.000
81,hip_addu,L-R,hip_addu,R-R,2.29e−4,0.00169,0.13516,483,1.000,1.000
82,hip_addu,L-R,hip_flex,L-R,−0.00782,0.00169,−4.62023,483,0.001,0.001
83,hip_addu,L-R,hip_flex,R-L,−0.01119,0.00169,−6.61459,483,0.0009,0.0009
84,hip_addu,L-R,hip_flex,R-R,−0.00698,0.00169,−4.12917,483,0.012,0.010
85,hip_addu,L-R,hip_rot,L-R,−6.77e−4,0.00169,−0.40021,483,1.000,1.000
86,hip_addu,L-R,hip_rot,R-L,−1.23e−4,0.00169,−0.07291,483,1.000,1.000
87,hip_addu,L-R,hip_rot,R-R,−0.00251,0.00169,−1.48261,483,1.000,1.000
88,hip_addu,L-R,knee,L-R,−0.00413,0.00169,−2.44113,483,1.000,1.000
89,hip_addu,L-R,knee,R-L,−0.00379,0.00169,−2.24326,483,1.000,1.000
90,hip_addu,L-R,knee,R-R,−0.00226,0.00169,−1.33714,483,1.000,1.000
91,hip_addu,L-R,subt,L-R,−9.52e−4,0.00169,−0.56296,483,1.000,1.000
92,hip_addu,L-R,subt,R-L,−2.80e−5,0.00169,−0.01657,483,1.000,1.000
93,hip_addu,L-R,subt,R-R,−5.71e−4,0.00169,−0.33761,483,1.000,1.000
94,hip_addu,R-L,ankle,R-R,−0.00122,0.00169,−0.72185,483,1.000,1.000
95,hip_addu,R-L,hip_addu,R-R,7.64e−4,0.00169,0.45147,483,1.000,1.000
96,hip_addu,R-L,hip_flex,R-L,−0.01065,0.00169,−6.29828,483,0.0009,0.0009
97,hip_addu,R-L,hip_flex,R-R,−0.00645,0.00169,−3.81286,483,0.043,0.035
98,hip_addu,R-L,hip_rot,R-L,4.12e−4,0.00169,0.24340,483,1.000,1.000
99,hip_addu,R-L,hip_rot,R-R,−0.00197,0.00169,−1.16630,483,1.000,1.000
100,hip_addu,R-L,knee,R-L,−0.00326,0.00169,−1.92695,483,1.000,1.000
101,hip_addu,R-L,knee,R-R,−0.00173,0.00169,−1.02083,483,1.000,1.000
102,hip_addu,R-L,subt,R-L,5.07e−4,0.00169,0.29974,483,1.000,1.000
103,hip_addu,R-L,subt,R-R,−3.60e−5,0.00169,−0.02130,483,1.000,1.000
104,hip_addu,R-R,hip_flex,R-R,−0.00721,0.00169,−4.26433,483,0.007,0.006
105,hip_addu,R-R,hip_rot,R-R,−0.00274,0.00169,−1.61776,483,1.000,1.000
106,hip_addu,R-R,knee,R-R,−0.00249,0.00169,−1.47229,483,1.000,1.000
107,hip_addu,R-R,subt,R-R,−8.00e−4,0.00169,−0.47276,483,1.000,1.000
108,hip_flex,L-L,ankle,L-R,0.00871,0.00169,5.14937,483,0.0009,0.0009
109,hip_flex,L-L,ankle,R-L,0.00826,0.00169,4.88179,483,0.0009,0.0009
110,hip_flex,L-L,ankle,R-R,0.00671,0.00169,3.96613,483,0.023,0.019
111,hip_flex,L-L,hip_addu,L-R,0.00847,0.00169,5.00430,483,0.0009,0.0009
112,hip_flex,L-L,hip_addu,R-L,0.00793,0.00169,4.68799,483,0.0009,0.0009
113,hip_flex,L-L,hip_addu,R-R,0.00869,0.00169,5.13945,483,0.0009,0.0009
114,hip_flex,L-L,hip_flex,L-R,6.50e−4,0.00169,0.38407,483,1.000,1.000
115,hip_flex,L-L,hip_flex,R-L,−0.00272,0.00169,−1.61029,483,1.000,1.000
116,hip_flex,L-L,hip_flex,R-R,0.00148,0.00169,0.87513,483,1.000,1.000
117,hip_flex,L-L,hip_rot,L-L,0.00664,0.00169,3.92818,483,0.027,0.022
118,hip_flex,L-L,hip_rot,L-R,0.00779,0.00169,4.60409,483,0.001,0.001
119,hip_flex,L-L,hip_rot,R-L,0.00834,0.00169,4.93139,483,0.0009,0.0009
120,hip_flex,L-L,hip_rot,R-R,0.00596,0.00169,3.52169,483,0.130,0.100
121,hip_flex,L-L,knee,L-L,0.00658,0.00169,3.88760,483,0.032,0.026
122,hip_flex,L-L,knee,L-R,0.00434,0.00169,2.56317,483,1.000,1.000
123,hip_flex,L-L,knee,R-L,0.00467,0.00169,2.76104,483,1.000,1.000
124,hip_flex,L-L,knee,R-R,0.00620,0.00169,3.66716,483,0.075,0.060
125,hip_flex,L-L,subt,L-L,0.00711,0.00169,4.20505,483,0.009,0.007
126,hip_flex,L-L,subt,L-R,0.00751,0.00169,4.44134,483,0.003,0.003
127,hip_flex,L-L,subt,R-L,0.00844,0.00169,4.98773,483,0.0009,0.0009
128,hip_flex,L-L,subt,R-R,0.00789,0.00169,4.66669,483,0.001,0.0009
129,hip_flex,L-R,ankle,R-L,0.00761,0.00169,4.49772,483,0.002,0.002
130,hip_flex,L-R,ankle,R-R,0.00606,0.00169,3.58207,483,0.104,0.081
131,hip_flex,L-R,hip_addu,R-L,0.00728,0.00169,4.30392,483,0.006,0.005
132,hip_flex,L-R,hip_addu,R-R,0.00804,0.00169,4.75539,483,0.0009,0.0009
133,hip_flex,L-R,hip_flex,R-L,−0.00337,0.00169,−1.99436,483,1.000,1.000
134,hip_flex,L-R,hip_flex,R-R,8.31e−4,0.00169,0.49106,483,1.000,1.000
135,hip_flex,L-R,hip_rot,L-R,0.00714,0.00169,4.22002,483,0.008,0.007
136,hip_flex,L-R,hip_rot,R-L,0.00769,0.00169,4.54732,483,0.002,0.002
137,hip_flex,L-R,hip_rot,R-R,0.00531,0.00169,3.13762,483,0.499,0.378
138,hip_flex,L-R,knee,L-R,0.00369,0.00169,2.17910,483,1.000,1.000
139,hip_flex,L-R,knee,R-L,0.00402,0.00169,2.37697,483,1.000,1.000
140,hip_flex,L-R,knee,R-R,0.00555,0.00169,3.28309,483,0.304,0.231
141,hip_flex,L-R,subt,L-R,0.00686,0.00169,4.05728,483,0.016,0.013
142,hip_flex,L-R,subt,R-L,0.00779,0.00169,4.60366,483,0.001,0.001
143,hip_flex,L-R,subt,R-R,0.00724,0.00169,4.28262,483,0.006,0.005
144,hip_flex,R-L,ankle,R-R,0.00943,0.00169,5.57643,483,0.0009,0.0009
145,hip_flex,R-L,hip_addu,R-R,0.01142,0.00169,6.74975,483,0.0009,0.0009
146,hip_flex,R-L,hip_flex,R-R,0.00420,0.00169,2.48542,483,1.000,1.000
147,hip_flex,R-L,hip_rot,R-L,0.01107,0.00169,6.54168,483,0.0009,0.0009
148,hip_flex,R-L,hip_rot,R-R,0.00868,0.00169,5.13198,483,0.0009,0.0009
149,hip_flex,R-L,knee,R-L,0.00739,0.00169,4.37133,483,0.004,0.004
150,hip_flex,R-L,knee,R-R,0.00893,0.00169,5.27745,483,0.0009,0.0009
151,hip_flex,R-L,subt,R-L,0.01116,0.00169,6.59802,483,0.0009,0.0009
152,hip_flex,R-L,subt,R-R,0.01062,0.00169,6.27699,483,0.0009,0.0009
153,hip_flex,R-R,hip_rot,R-R,0.00448,0.00169,2.64656,483,1.000,1.000
154,hip_flex,R-R,knee,R-R,0.00472,0.00169,2.79203,483,1.000,1.000
155,hip_flex,R-R,subt,R-R,0.00641,0.00169,3.79156,483,0.047,0.037
156,hip_rot,L-L,ankle,L-R,0.00207,0.00169,1.22119,483,1.000,1.000
157,hip_rot,L-L,ankle,R-L,0.00161,0.00169,0.95361,483,1.000,1.000
158,hip_rot,L-L,ankle,R-R,6.42e−5,0.00169,0.03795,483,1.000,1.000
159,hip_rot,L-L,hip_addu,L-R,0.00182,0.00169,1.07612,483,1.000,1.000
160,hip_rot,L-L,hip_addu,R-L,0.00129,0.00169,0.75981,483,1.000,1.000
161,hip_rot,L-L,hip_addu,R-R,0.00205,0.00169,1.21127,483,1.000,1.000
162,hip_rot,L-L,hip_flex,L-R,−0.00600,0.00169,−3.54411,483,0.119,0.093
163,hip_rot,L-L,hip_flex,R-L,−0.00937,0.00169,−5.53847,483,0.0009,0.0009
164,hip_rot,L-L,hip_flex,R-R,−0.00516,0.00169,−3.05305,483,0.660,0.495
165,hip_rot,L-L,hip_rot,L-R,0.00114,0.00169,0.67591,483,1.000,1.000
166,hip_rot,L-L,hip_rot,R-L,0.00170,0.00169,1.00321,483,1.000,1.000
167,hip_rot,L-L,hip_rot,R-R,−6.88e−4,0.00169,−0.40649,483,1.000,1.000
168,hip_rot,L-L,knee,L-L,−6.86e−5,0.00169,−0.04058,483,1.000,1.000
169,hip_rot,L-L,knee,L-R,−0.00231,0.00169,−1.36501,483,1.000,1.000
170,hip_rot,L-L,knee,R-L,−0.00197,0.00169,−1.16714,483,1.000,1.000
171,hip_rot,L-L,knee,R-R,−4.42e−4,0.00169,−0.26102,483,1.000,1.000
172,hip_rot,L-L,subt,L-L,4.68e−4,0.00169,0.27687,483,1.000,1.000
173,hip_rot,L-L,subt,L-R,8.68e−4,0.00169,0.51316,483,1.000,1.000
174,hip_rot,L-L,subt,R-L,0.00179,0.00169,1.05955,483,1.000,1.000
175,hip_rot,L-L,subt,R-R,0.00125,0.00169,0.73851,483,1.000,1.000
176,hip_rot,L-R,ankle,R-L,4.70e−4,0.00169,0.27770,483,1.000,1.000
177,hip_rot,L-R,ankle,R-R,−0.00108,0.00169,−0.63795,483,1.000,1.000
178,hip_rot,L-R,hip_addu,R-L,1.42e−4,0.00169,0.08390,483,1.000,1.000
179,hip_rot,L-R,hip_addu,R-R,9.06e−4,0.00169,0.53537,483,1.000,1.000
180,hip_rot,L-R,hip_flex,R-L,−0.01051,0.00169,−6.21438,483,0.0009,0.0009
181,hip_rot,L-R,hip_flex,R-R,−0.00631,0.00169,−3.72896,483,0.059,0.047
182,hip_rot,L-R,hip_rot,R-L,5.54e−4,0.00169,0.32730,483,1.000,1.000
183,hip_rot,L-R,hip_rot,R-R,−0.00183,0.00169,−1.08240,483,1.000,1.000
184,hip_rot,L-R,knee,L-R,−0.00345,0.00169,−2.04091,483,1.000,1.000
185,hip_rot,L-R,knee,R-L,−0.00312,0.00169,−1.84305,483,1.000,1.000
186,hip_rot,L-R,knee,R-R,−0.00158,0.00169,−0.93693,483,1.000,1.000
187,hip_rot,L-R,subt,L-R,−2.75e−4,0.00169,−0.16274,483,1.000,1.000
188,hip_rot,L-R,subt,R-L,6.49e−4,0.00169,0.38364,483,1.000,1.000
189,hip_rot,L-R,subt,R-R,1.06e−4,0.00169,0.06261,483,1.000,1.000
190,hip_rot,R-L,ankle,R-R,−0.00163,0.00169,−0.96526,483,1.000,1.000
191,hip_rot,R-L,hip_addu,R-R,3.52e−4,0.00169,0.20806,483,1.000,1.000
192,hip_rot,R-L,hip_flex,R-R,−0.00686,0.00169,−4.05626,483,0.016,0.013
193,hip_rot,R-L,hip_rot,R-R,−0.00238,0.00169,−1.40970,483,1.000,1.000
194,hip_rot,R-L,knee,R-L,−0.00367,0.00169,−2.17035,483,1.000,1.000
195,hip_rot,R-L,knee,R-R,−0.00214,0.00169,−1.26423,483,1.000,1.000
196,hip_rot,R-L,subt,R-L,9.53e−5,0.00169,0.05634,483,1.000,1.000
197,hip_rot,R-L,subt,R-R,−4.48e−4,0.00169,−0.26470,483,1.000,1.000
198,hip_rot,R-R,knee,R-R,2.46e−4,0.00169,0.14547,483,1.000,1.000
199,hip_rot,R-R,subt,R-R,0.00194,0.00169,1.14500,483,1.000,1.000
200,knee,L-L,ankle,L-R,0.00213,0.00169,1.26177,483,1.000,1.000
201,knee,L-L,ankle,R-L,0.00168,0.00169,0.99419,483,1.000,1.000
202,knee,L-L,ankle,R-R,1.33e−4,0.00169,0.07853,483,1.000,1.000
203,knee,L-L,hip_addu,L-R,0.00189,0.00169,1.11670,483,1.000,1.000
204,knee,L-L,hip_addu,R-L,0.00135,0.00169,0.80039,483,1.000,1.000
205,knee,L-L,hip_addu,R-R,0.00212,0.00169,1.25185,483,1.000,1.000
206,knee,L-L,hip_flex,L-R,−0.00593,0.00169,−3.50353,483,0.139,0.107
207,knee,L-L,hip_flex,R-L,−0.00930,0.00169,−5.49789,483,0.0009,0.0009
208,knee,L-L,hip_flex,R-R,−0.00510,0.00169,−3.01247,483,0.753,0.562
209,knee,L-L,hip_rot,L-R,0.00121,0.00169,0.71648,483,1.000,1.000
210,knee,L-L,hip_rot,R-L,0.00177,0.00169,1.04379,483,1.000,1.000
211,knee,L-L,hip_rot,R-R,−6.19e−4,0.00169,−0.36591,483,1.000,1.000
212,knee,L-L,knee,L-R,−0.00224,0.00169,−1.32443,483,1.000,1.000
213,knee,L-L,knee,R-L,−0.00191,0.00169,−1.12656,483,1.000,1.000
214,knee,L-L,knee,R-R,−3.73e−4,0.00169,−0.22044,483,1.000,1.000
215,knee,L-L,subt,L-L,5.37e−4,0.00169,0.31745,483,1.000,1.000
216,knee,L-L,subt,L-R,9.37e−4,0.00169,0.55374,483,1.000,1.000
217,knee,L-L,subt,R-L,0.00186,0.00169,1.10013,483,1.000,1.000
218,knee,L-L,subt,R-R,0.00132,0.00169,0.77909,483,1.000,1.000
219,knee,L-R,ankle,R-L,0.00392,0.00169,2.31862,483,1.000,1.000
220,knee,L-R,ankle,R-R,0.00237,0.00169,1.40296,483,1.000,1.000
221,knee,L-R,hip_addu,R-L,0.00359,0.00169,2.12481,483,1.000,1.000
222,knee,L-R,hip_addu,R-R,0.00436,0.00169,2.57628,483,1.000,1.000
223,knee,L-R,hip_flex,R-L,−0.00706,0.00169,−4.17347,483,0.010,0.008
224,knee,L-R,hip_flex,R-R,−0.00286,0.00169,−1.68805,483,1.000,1.000
225,knee,L-R,hip_rot,R-L,0.00401,0.00169,2.36822,483,1.000,1.000
226,knee,L-R,hip_rot,R-R,0.00162,0.00169,0.95852,483,1.000,1.000
227,knee,L-R,knee,R-L,3.35e−4,0.00169,0.19786,483,1.000,1.000
228,knee,L-R,knee,R-R,0.00187,0.00169,1.10399,483,1.000,1.000
229,knee,L-R,subt,L-R,0.00318,0.00169,1.87817,483,1.000,1.000
230,knee,L-R,subt,R-L,0.00410,0.00169,2.42456,483,1.000,1.000
231,knee,L-R,subt,R-R,0.00356,0.00169,2.10352,483,1.000,1.000
232,knee,R-L,ankle,R-R,0.00204,0.00169,1.20510,483,1.000,1.000
233,knee,R-L,hip_addu,R-R,0.00402,0.00169,2.37842,483,1.000,1.000
234,knee,R-L,hip_flex,R-R,−0.00319,0.00169,−1.88591,483,1.000,1.000
235,knee,R-L,hip_rot,R-R,0.00129,0.00169,0.76065,483,1.000,1.000
236,knee,R-L,knee,R-R,0.00153,0.00169,0.90612,483,1.000,1.000
237,knee,R-L,subt,R-L,0.00377,0.00169,2.22669,483,1.000,1.000
238,knee,R-L,subt,R-R,0.00322,0.00169,1.90565,483,1.000,1.000
239,knee,R-R,subt,R-R,0.00169,0.00169,0.99953,483,1.000,1.000
240,subt,L-L,ankle,L-R,0.00160,0.00169,0.94432,483,1.000,1.000
241,subt,L-L,ankle,R-L,0.00114,0.00169,0.67674,483,1.000,1.000
242,subt,L-L,ankle,R-R,−4.04e−4,0.00169,−0.23892,483,1.000,1.000
243,subt,L-L,hip_addu,L-R,0.00135,0.00169,0.79925,483,1.000,1.000
244,subt,L-L,hip_addu,R-L,8.17e−4,0.00169,0.48294,483,1.000,1.000
245,subt,L-L,hip_addu,R-R,0.00158,0.00169,0.93440,483,1.000,1.000
246,subt,L-L,hip_flex,L-R,−0.00646,0.00169,−3.82098,483,0.041,0.034
247,subt,L-L,hip_flex,R-L,−0.00984,0.00169,−5.81535,483,0.0009,0.0009
248,subt,L-L,hip_flex,R-R,−0.00563,0.00169,−3.32992,483,0.258,0.197
249,subt,L-L,hip_rot,L-R,6.75e−4,0.00169,0.39903,483,1.000,1.000
250,subt,L-L,hip_rot,R-L,0.00123,0.00169,0.72634,483,1.000,1.000
251,subt,L-L,hip_rot,R-R,−0.00116,0.00169,−0.68336,483,1.000,1.000
252,subt,L-L,knee,L-R,−0.00278,0.00169,−1.64188,483,1.000,1.000
253,subt,L-L,knee,R-L,−0.00244,0.00169,−1.44401,483,1.000,1.000
254,subt,L-L,knee,R-R,−9.10e−4,0.00169,−0.53789,483,1.000,1.000
255,subt,L-L,subt,L-R,4.00e−4,0.00169,0.23629,483,1.000,1.000
256,subt,L-L,subt,R-L,0.00132,0.00169,0.78268,483,1.000,1.000
257,subt,L-L,subt,R-R,7.81e−4,0.00169,0.46164,483,1.000,1.000
258,subt,L-R,ankle,R-L,7.45e−4,0.00169,0.44045,483,1.000,1.000
259,subt,L-R,ankle,R-R,−8.04e−4,0.00169,−0.47521,483,1.000,1.000
260,subt,L-R,hip_addu,R-L,4.17e−4,0.00169,0.24664,483,1.000,1.000
261,subt,L-R,hip_addu,R-R,0.00118,0.00169,0.69811,483,1.000,1.000
262,subt,L-R,hip_flex,R-L,−0.01024,0.00169,−6.05164,483,0.0009,0.0009
263,subt,L-R,hip_flex,R-R,−0.00603,0.00169,−3.56622,483,0.110,0.086
264,subt,L-R,hip_rot,R-L,8.29e−4,0.00169,0.49005,483,1.000,1.000
265,subt,L-R,hip_rot,R-R,−0.00156,0.00169,−0.91965,483,1.000,1.000
266,subt,L-R,knee,R-L,−0.00284,0.00169,−1.68031,483,1.000,1.000
267,subt,L-R,knee,R-R,−0.00131,0.00169,−0.77418,483,1.000,1.000
268,subt,L-R,subt,R-L,9.24e−4,0.00169,0.54639,483,1.000,1.000
269,subt,L-R,subt,R-R,3.81e−4,0.00169,0.22535,483,1.000,1.000
270,subt,R-L,ankle,R-R,−0.00173,0.00169,−1.02160,483,1.000,1.000
271,subt,R-L,hip_addu,R-R,2.57e−4,0.00169,0.15172,483,1.000,1.000
272,subt,R-L,hip_flex,R-R,−0.00696,0.00169,−4.11260,483,0.013,0.011
273,subt,R-L,hip_rot,R-R,−0.00248,0.00169,−1.46604,483,1.000,1.000
274,subt,R-L,knee,R-R,−0.00223,0.00169,−1.32057,483,1.000,1.000
275,subt,R-L,subt,R-R,−5.43e−4,0.00169,−0.32104,483,1.000,1.000
